pack_id,tube_id,particle_id,id,ore_type,rm_number,density_bin,created_at,density_g_per_cm3,volume_cm3,weight_g,axis_length_mm,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility,photo_url
16,TUBE-01,RT-XRM43971-0019,132,HGM,RM43971,1190569,2025-02-10T10:00:19.540326,3.9445,0.1142,0.4505,10.5,0.0014476649153531817,3.6697743248242695e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0019/20250218112141
16,TUBE-01,RT-XRM43971-0020,133,HGM,RM43971,1190569,2025-02-10T10:00:19.612589,4.867918,0.053823,0.262,10.0,0.009728616638487881,1.9985623409669207e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0020/20250218112754
16,TUBE-01,RT-XRM43971-0022,134,HGM,RM43971,1190569,2025-02-10T10:00:19.753941,3.849324,0.130231,0.5013,9.63,0.0014149472859764573,3.6758428086973875e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0022/20250218113501
16,TUBE-01,RT-XRM43971-0023,135,HGM,RM43971,1190569,2025-02-10T10:00:19.826583,4.383156,0.067486,0.2958,11.33,0.006183158976182715,1.4106716249718279e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0023/20250218114013
16,TUBE-01,RT-XRM43971-0025,136,HGM,RM43971,1190569,2025-02-10T10:00:19.971472,4.729034,0.077035,0.3643,10.66,0.0034786785227493996,7.356025253911611e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0025/20250218115317
16,TUBE-01,RT-XRM43971-0026,137,HGM,RM43971,1190569,2025-02-10T10:00:20.042514,4.99683,0.137868,0.6889,11.93,0.0025818899236951286,5.167077950355639e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0026/20250218115730
16,TUBE-01,RT-XRM43971-0027,138,HGM,RM43971,1190569,2025-02-10T10:00:20.113673,3.9388,0.1507,0.5934,10.98,0.0014113249281132495,3.584204022019998e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0027/20250218120429
16,TUBE-01,RT-XRM43971-0028,139,HGM,RM43971,1190569,2025-02-10T10:00:20.185602,4.403709,0.117343,0.5167,10.3,0.0016752313019665996,3.8044642281143156e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0028/20250218120940
16,TUBE-01,RT-XRM43971-0024,140,HGM,RM43971,1190569,2025-02-10T10:00:19.898541,4.853102,0.058872,0.2857,9.42,0.004556042487656837,9.388286080970715e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0024/20250218114725
16,TUBE-01,RT-XRM43971-0029,141,HGM,RM43971,1190569,2025-02-10T10:00:20.259800,4.439,0.1434,0.6367,10.3,0.0028249418874941885,6.362441756976073e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0029/20250218121407
16,TUBE-01,RT-XRM43971-0030,142,HGM,RM43971,1190569,2025-02-10T10:00:20.331586,4.920043,0.071687,0.3527,11.06,0.0020646700238536974,4.196484264247236e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0030/20250218122206
16,TUBE-01,RT-XRM43971-0035,143,HGM,RM43971,1190569,2025-02-10T10:00:39.260475,4.882338,0.07519,0.3671,9.73,0.0030731036928669593,6.29437936983565e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0035/20250220121420
16,TUBE-01,RT-XRM43971-0034,144,HGM,RM43971,1190569,2025-02-10T10:00:20.613493,4.0805,0.1139,0.4646,9.92,0.0014042727538776704,3.4426747022528343e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0034/20250220120803
16,TUBE-01,RT-XRM43971-0032,145,HGM,RM43971,1190569,2025-02-10T10:00:20.473579,4.853365,0.127149,0.6171,11.32,0.003925814071155363,8.088856479230811e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0032/20250220120327
16,TUBE-01,RT-XRM43971-0031,146,HGM,RM43971,1190569,2025-02-10T10:00:20.402479,3.8988,0.1675,0.653,9.7,0.0014444378109452738,3.705104645227157e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0031/20250220115833
17,TUBE-01,RT-XRM43971-0002,147,HGM,RM43971,1190567,2025-01-24T03:31:30.251090,4.635852,0.088312,0.4094,12.15,0.0024599903372890053,5.306464745155512e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0002/20250218093016
17,TUBE-01,RT-XRM43971-0003,148,HGM,RM43971,1190567,2025-02-10T10:00:18.431927,4.864366,0.060441,0.294,12.25,0.007340822730707081,1.5091383219954652e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0003/20250218093324
17,TUBE-01,RT-XRM43971-0005,149,HGM,RM43971,1190567,2025-02-10T10:00:18.504667,4.6041,0.1156,0.5322,13.7,0.0033881776239907727,7.359513967180258e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0005/20250218093634
17,TUBE-01,RT-XRM43971-0006,150,HGM,RM43971,1190567,2025-02-10T10:00:18.577751,4.1846,0.0858,0.3589,8.01,0.0023073426573426573,5.516021175814991e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0006/20250218093957
17,TUBE-01,RT-XRM43971-0008,151,HGM,RM43971,1190567,2025-02-10T10:00:18.724427,3.883296,0.135632,0.5267,10.6,0.0013532450552475328,3.4847794443389666e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0008/20250218094416
17,TUBE-01,RT-XRM43971-0010,152,HGM,RM43971,1190569,2025-02-10T10:00:18.872073,4.6733,0.1645,0.7688,11.62,0.003331894630192503,7.129249046132502e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0010/20250218094820
17,TUBE-01,RT-XRM43971-0011,153,HGM,RM43971,1190569,2025-02-10T10:00:18.949268,4.915012,0.100509,0.494,11.9,0.0025805649245341216,5.250404858299596e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0011/20250218105330
17,TUBE-01,RT-XRM43971-0012,154,HGM,RM43971,1190569,2025-02-10T10:00:19.025457,5.10669,0.061822,0.3157,11.89,0.006629193490990262,1.298162812796959e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0012/20250218105730
17,TUBE-01,RT-XRM43971-0014,155,HGM,RM43971,1190569,2025-02-10T10:00:19.169118,4.1086,0.1455,0.5979,11.62,0.0018889576174112256,4.5968110609354964e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0014/20250218110006
17,TUBE-01,RT-XRM43971-0016,156,HGM,RM43971,1190569,2025-02-10T10:00:19.318096,4.54821,0.083625,0.3803,8.79,0.0020082909815645244,4.416075028486283e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0016/20250218110401
17,TUBE-01,RT-XRM43971-0017,157,HGM,RM43971,1190569,2025-02-10T10:00:19.393309,4.1424,0.195,0.8078,8.94,0.0016486324786324786,3.979739209375258e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0017/20250218111126
17,TUBE-01,RT-XRM43971-0018,158,HGM,RM43971,1190569,2025-02-10T10:00:19.467294,4.041092,0.081934,0.3311,10.11,0.0017108485691735623,4.233665559246954e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0018/20250218111818
17,TUBE-01,RT-XRM43971-0019,159,HGM,RM43971,1190569,2025-02-10T10:00:19.540326,3.9445,0.1142,0.4505,10.5,0.0014476649153531817,3.6697743248242695e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0019/20250218112141
