pack_id,acquisition_id,visualisation_url,gadi_location,particle_id
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0017,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/dD2zSfJFlj5NKv7lOjU9eAzW5YiYwSNr7LrdKSEpOp4=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0017.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0017.ome.zarr,RT-XRM43971-0017
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0018,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/97yi7Ub6nrsDAnQKLAj26LHjgpI0gjIuTdp_SDZbpOk=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0018.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0018.ome.zarr,RT-XRM43971-0018
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0019,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/Ko_oiJidSshxn0FbqwDykZVoWkmJ2HZdjg_Rvx0CVFQ=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0019.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0019.ome.zarr,RT-XRM43971-0019
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0020,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/N8Z-JjY8T3U6xfTOwCFEmFg3dad1q0ogKWPRsuZlED0=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0020.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0020.ome.zarr,RT-XRM43971-0020
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0022,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/uyyZY-_5njogNE0ZEzH9_bBR5U2HpARhbxlQ5l9N7E0=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0022.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0022.ome.zarr,RT-XRM43971-0022
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0023,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/6aPNHuVWVyV9IUWu7xLkwc0LcCqGizDVeHCuFKrbvDo=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0023.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0023.ome.zarr,RT-XRM43971-0023
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0024,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/YuwzDe0QDRE_-EDORlLi9DTsoWDuSxNgFQnU_8FtG_k=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0024.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0024.ome.zarr,RT-XRM43971-0024
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0025,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/_Z9N2foR0V6w17Rsn9w_uXEDNCBitxVVb5LHysgfJRI=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0025.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0025.ome.zarr,RT-XRM43971-0025
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0026,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/pU6Yrvu6XMSTM8KJ5CmDAMvQcgFjg4DetgkZ2f_A3yg=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0026.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0026.ome.zarr,RT-XRM43971-0026
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0027,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/DE7FAleoyB_LRHGN6vjNWTJflLq7yKB-Ge10wd05dsk=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0027.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0027.ome.zarr,RT-XRM43971-0027
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0028,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/obI2g8wlXAY_YVn9zmHpC8G3ikhi3N3TJnUWmrj1mH4=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0028.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0028.ome.zarr,RT-XRM43971-0028
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0029,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/6u2oQd2txwKalfYbB7wP3EsKaHYV673aveV37g5fsZo=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0029.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0029.ome.zarr,RT-XRM43971-0029
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0030,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/mq-tU6XH9017gNLeIO9KBojrW9eavU9IHjm-O10WqBU=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0030.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0030.ome.zarr,RT-XRM43971-0030
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0031,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/Z2Uk4bMPt3kExTvzA1kz2h8955W1bwCO0caOoCEtuks=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0031.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0031.ome.zarr,RT-XRM43971-0031
