measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,density_g_per_cm3,density_g_per_cm3_std,machine,cup,created_at,valid,volume_measurement_id,volume_cm3,volume_valid
215,RT-XRM43971-0011,HGM,RM43971,1190569,2.75,Indiana Veal,5.024,0.0231,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.636797+11:00,True,78,0.0985,True
216,RT-XRM43971-0012,HGM,RM43971,1190569,2.75,Indiana Veal,5.1814,0.0176,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.723056+11:00,True,79,0.061,True
217,RT-XRM43971-0013,HGM,RM43971,1190569,2.75,Indiana Veal,3.9122,0.0091,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.802613+11:00,True,80,0.174,True
218,RT-XRM43971-0014,HGM,RM43971,1190569,2.75,Indiana Veal,4.1086,0.005,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.879297+11:00,True,81,0.1455,True
219,RT-XRM43971-0015,HGM,RM43971,1190569,2.75,Indiana Veal,5.1664,0.0064,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.957527+11:00,True,82,0.133,True
220,RT-XRM43971-0016,HGM,RM43971,1190569,2.75,Indiana Veal,4.6024,0.0068,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.034587+11:00,True,83,0.0828,True
221,RT-XRM43971-0017,HGM,RM43971,1190569,2.75,Indiana Veal,4.1424,0.0054,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.116849+11:00,True,84,0.195,True
222,RT-XRM43971-0018,HGM,RM43971,1190569,2.75,Indiana Veal,4.1707,0.0314,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.186174+11:00,True,85,0.0794,True
223,RT-XRM43971-0019,HGM,RM43971,1190569,2.75,Indiana Veal,3.9445,0.0043,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.271542+11:00,True,86,0.1142,True
224,RT-XRM43971-0020,HGM,RM43971,1190569,2.75,Indiana Veal,5.1619,0.0367,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.341409+11:00,True,87,0.0508,True
225,RT-XRM43971-0021,HGM,RM43971,1190569,2.75,Indiana Veal,3.992,0.006,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.413245+11:00,True,88,0.1361,True
226,RT-XRM43971-0022,HGM,RM43971,1190569,2.75,Indiana Veal,3.8841,0.0107,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.497878+11:00,True,89,0.1292,True
227,RT-XRM43971-0023,HGM,RM43971,1190569,2.75,Indiana Veal,5.0462,0.0563,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.575940+11:00,True,90,0.0567,True
228,RT-XRM43971-0024,HGM,RM43971,1190569,2.75,Indiana Veal,4.6845,0.0306,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.653076+11:00,True,91,0.0632,True
229,RT-XRM43971-0025,HGM,RM43971,1190569,2.75,Indiana Veal,5.0125,0.0231,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.726455+11:00,True,92,0.0727,True
230,RT-XRM43971-0026,HGM,RM43971,1190569,2.75,Indiana Veal,5.0688,0.0032,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.806438+11:00,True,93,0.136,True
231,RT-XRM43971-0027,HGM,RM43971,1190569,2.75,Indiana Veal,3.9388,0.0129,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.885706+11:00,True,94,0.1507,True
232,RT-XRM43971-0028,HGM,RM43971,1190569,2.75,Indiana Veal,3.831,0.0073,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:49.960775+11:00,True,95,0.135,True
233,RT-XRM43971-0029,HGM,RM43971,1190569,2.75,Indiana Veal,4.439,0.0129,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:50.042397+11:00,True,96,0.1434,True
234,RT-XRM43971-0030,HGM,RM43971,1190569,2.75,Indiana Veal,4.9517,0.0383,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:50.116258+11:00,True,97,0.0713,True
235,RT-XRM43971-0031,HGM,RM43971,1190569,2.75,Indiana Veal,3.8988,0.0066,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:50.199783+11:00,True,98,0.1675,True
236,RT-XRM43971-0032,HGM,RM43971,1190569,2.75,Indiana Veal,4.9872,0.0158,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:50.285506+11:00,True,99,0.1239,True
237,RT-XRM43971-0033,HGM,RM43971,1190569,2.75,Indiana Veal,4.0196,0.0129,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:50.365417+11:00,True,100,0.1832,True
238,RT-XRM43971-0034,HGM,RM43971,1190569,2.75,Indiana Veal,4.0805,0.0136,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:50.454537+11:00,True,101,0.1139,True
239,RT-XRM43971-0035,HGM,RM43971,1190569,2.75,Indiana Veal,5.0554,0.0128,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:50.543239+11:00,True,102,0.0727,True
