measurement_id,particle_id,operator,magnetic_susceptibility,machine,created_at,valid,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility
35,RT-XRM43971-0035,Pengxiang Hu,2.310666666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.785345,True,0.0030731036928669593,6.29437936983565e-07
36,RT-XRM43971-0036,Pengxiang Hu,5.0991666666666675e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.796105,True,0.002918813203587102,5.85438193647149e-07
37,RT-XRM43971-0037,Pengxiang Hu,3.7631e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.812008,True,0.003915816857440166,9.72628586197984e-07
38,RT-XRM43971-0038,Pengxiang Hu,3.4317666666666665e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.825291,True,0.0017836625086625087,4.227354849306069e-07
39,RT-XRM43971-0039,Pengxiang Hu,3.2841333333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.836031,True,0.0022115375982042647,5.538167509836987e-07
40,RT-XRM43971-0040,Pengxiang Hu,5.5146333333333344e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.848691,True,0.002817901549991484,5.87600781388741e-07
41,RT-XRM43971-0041,Pengxiang Hu,3.322066666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.860010,True,0.0014538584974471192,3.7247075531636584e-07
42,RT-XRM43971-0042,Pengxiang Hu,0.0004548066666666666,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.871474,True,0.02253749587049884,5.056778593136165e-06
43,RT-XRM43971-0043,Pengxiang Hu,5.869933333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.885108,True,0.0028398322851153042,6.520699103902836e-07
44,RT-XRM43971-0044,Pengxiang Hu,2.4664333333333337e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.898619,True,0.0013941977046320008,3.6069513502973586e-07
45,RT-XRM43971-0045,Pengxiang Hu,5.1855000000000004e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.911415,True,0.008585264900662252,1.6754442649434576e-06
46,RT-XRM43971-0046,Pengxiang Hu,2.1232666666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.923827,True,0.0018024335031126203,4.560280641466209e-07
47,RT-XRM43971-0047,Pengxiang Hu,3.214533333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.939589,True,0.0028907413902153167,6.224890265943715e-07
48,RT-XRM43971-0048,Pengxiang Hu,4.5778e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.949713,True,0.004590331605282422,9.235021182166634e-07
49,RT-XRM43971-0049,Pengxiang Hu,2.7704e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.960644,True,0.003278579881656804,6.881271733730749e-07
50,RT-XRM43971-0050,Pengxiang Hu,4.2588333333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.972120,True,0.003646261415525114,7.265154099852154e-07
51,RT-XRM43971-0051,Pengxiang Hu,2.6448e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.983558,True,0.0018265193370165743,4.2637433499919397e-07
52,RT-XRM43971-0052,Pengxiang Hu,6.1368e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.995787,True,0.0022967065868263474,5.204206241519674e-07
53,RT-XRM43971-0053,Pengxiang Hu,6.9442e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.008031,True,0.00772436040044494,1.5535123042505595e-06
54,RT-XRM43971-0054,Pengxiang Hu,3.7573333333333335e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.019993,True,0.0021168075117370894,4.694906076887834e-07
55,RT-XRM43971-0055,Pengxiang Hu,2.5591999999999998e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.035233,True,0.0015333732774116236,3.734967892586106e-07
56,RT-XRM43971-0056,Pengxiang Hu,0.00018103,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.047640,True,0.007163830629204591,1.5611417730251812e-06
57,RT-XRM43971-0057,Pengxiang Hu,4.265666666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.060258,True,0.0032242378432854623,6.807639110543674e-07
58,RT-XRM43971-0058,Pengxiang Hu,0.00013774333333333333,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.072780,True,0.0032851723238760313,7.773325808878856e-07
59,RT-XRM43971-0059,Pengxiang Hu,4.2961e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.085386,True,0.001618116760828625,3.897749954636182e-07
60,RT-XRM43971-0060,Pengxiang Hu,2.3494333333333336e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.097551,True,0.00148206790980125,3.801672060409925e-07
61,RT-XRM43971-0061,Pengxiang Hu,0.00015965333333333335,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.109696,True,0.00502686817800168,1.02895935378534e-06
62,RT-XRM43971-0062,Pengxiang Hu,7.393733333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.121053,True,0.0027014005602240894,6.364580643310091e-07
63,RT-XRM43971-0063,Pengxiang Hu,2.219833333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.132453,True,0.001390002087246921,3.445341197164881e-07
